role,category,difficulty,quality,label,question,answer,reference_answer,text
software engineer,backend,easy,STRONG,2,What is a REST API?,"A REST API lets clients access and update resources over HTTP using methods like GET, POST, PUT, and DELETE. It is typically stateless, so each request contains the information needed to process it.","A REST API is an interface based on representational state transfer where clients interact with resources over HTTP using standard methods such as GET, POST, PUT, and DELETE in a stateless manner.","QUESTION: What is a REST API?
ANSWER: A REST API lets clients access and update resources over HTTP using methods like GET, POST, PUT, and DELETE. It is typically stateless, so each request contains the information needed to process it.
REFERENCE: A REST API is an interface based on representational state transfer where clients interact with resources over HTTP using standard methods such as GET, POST, PUT, and DELETE in a stateless manner."
software engineer,backend,easy,AVERAGE,1,What is a REST API?,"A REST API is a way for applications to communicate on the web using HTTP. It has endpoints and common methods, but I would need to check the full details of the rules.","A REST API is an interface based on representational state transfer where clients interact with resources over HTTP using standard methods such as GET, POST, PUT, and DELETE in a stateless manner.","QUESTION: What is a REST API?
ANSWER: A REST API is a way for applications to communicate on the web using HTTP. It has endpoints and common methods, but I would need to check the full details of the rules.
REFERENCE: A REST API is an interface based on representational state transfer where clients interact with resources over HTTP using standard methods such as GET, POST, PUT, and DELETE in a stateless manner."
software engineer,backend,easy,WEAK,0,What is a REST API?,REST API is basically a database or a server screen. It stores files and automatically makes websites fast.,"A REST API is an interface based on representational state transfer where clients interact with resources over HTTP using standard methods such as GET, POST, PUT, and DELETE in a stateless manner.","QUESTION: What is a REST API?
ANSWER: REST API is basically a database or a server screen. It stores files and automatically makes websites fast.
REFERENCE: A REST API is an interface based on representational state transfer where clients interact with resources over HTTP using standard methods such as GET, POST, PUT, and DELETE in a stateless manner."
software engineer,database,easy,STRONG,2,What is database indexing?,"Database indexing creates a structure on selected columns so the database can locate rows faster during queries. It improves read speed, but it also adds storage cost and can slow inserts or updates a bit.","Database indexing is a technique that creates a data structure on one or more columns so the database can find rows faster, trading some extra storage and write overhead for improved read performance.","QUESTION: What is database indexing?
ANSWER: Database indexing creates a structure on selected columns so the database can locate rows faster during queries. It improves read speed, but it also adds storage cost and can slow inserts or updates a bit.
REFERENCE: Database indexing is a technique that creates a data structure on one or more columns so the database can find rows faster, trading some extra storage and write overhead for improved read performance."
software engineer,database,easy,AVERAGE,1,What is database indexing?,"Indexing helps the database search data faster. It is useful for queries, although too many indexes can have some extra cost.","Database indexing is a technique that creates a data structure on one or more columns so the database can find rows faster, trading some extra storage and write overhead for improved read performance.","QUESTION: What is database indexing?
ANSWER: Indexing helps the database search data faster. It is useful for queries, although too many indexes can have some extra cost.
REFERENCE: Database indexing is a technique that creates a data structure on one or more columns so the database can find rows faster, trading some extra storage and write overhead for improved read performance."
software engineer,database,easy,WEAK,0,What is database indexing?,"Indexing means arranging the tables in alphabetical order forever. Once indexed, the database no longer needs queries.","Database indexing is a technique that creates a data structure on one or more columns so the database can find rows faster, trading some extra storage and write overhead for improved read performance.","QUESTION: What is database indexing?
ANSWER: Indexing means arranging the tables in alphabetical order forever. Once indexed, the database no longer needs queries.
REFERENCE: Database indexing is a technique that creates a data structure on one or more columns so the database can find rows faster, trading some extra storage and write overhead for improved read performance."
software engineer,database,medium,STRONG,2,What is normalization in databases?,Normalization organizes relational tables to reduce duplicate data and improve integrity. It often splits data into related tables based on dependencies so updates stay consistent.,"Normalization is the process of organizing relational data into well-structured tables to reduce redundancy and improve data integrity, usually by separating data based on functional dependencies.","QUESTION: What is normalization in databases?
ANSWER: Normalization organizes relational tables to reduce duplicate data and improve integrity. It often splits data into related tables based on dependencies so updates stay consistent.
REFERENCE: Normalization is the process of organizing relational data into well-structured tables to reduce redundancy and improve data integrity, usually by separating data based on functional dependencies."
software engineer,database,medium,AVERAGE,1,What is normalization in databases?,Normalization is used to reduce repeated data in tables and make the database cleaner. It usually breaks information into multiple related tables.,"Normalization is the process of organizing relational data into well-structured tables to reduce redundancy and improve data integrity, usually by separating data based on functional dependencies.","QUESTION: What is normalization in databases?
ANSWER: Normalization is used to reduce repeated data in tables and make the database cleaner. It usually breaks information into multiple related tables.
REFERENCE: Normalization is the process of organizing relational data into well-structured tables to reduce redundancy and improve data integrity, usually by separating data based on functional dependencies."
software engineer,database,medium,WEAK,0,What is normalization in databases?,Normalization is when all data is kept in one big table so joins are never needed and the database becomes more powerful.,"Normalization is the process of organizing relational data into well-structured tables to reduce redundancy and improve data integrity, usually by separating data based on functional dependencies.","QUESTION: What is normalization in databases?
ANSWER: Normalization is when all data is kept in one big table so joins are never needed and the database becomes more powerful.
REFERENCE: Normalization is the process of organizing relational data into well-structured tables to reduce redundancy and improve data integrity, usually by separating data based on functional dependencies."
software engineer,oop,easy,STRONG,2,What is polymorphism in object-oriented programming?,"Polymorphism means the same interface or method name can behave differently for different object types. For example, different classes can implement the same method in their own way.",Polymorphism allows the same interface or method name to represent different underlying implementations depending on the object or class being used.,"QUESTION: What is polymorphism in object-oriented programming?
ANSWER: Polymorphism means the same interface or method name can behave differently for different object types. For example, different classes can implement the same method in their own way.
REFERENCE: Polymorphism allows the same interface or method name to represent different underlying implementations depending on the object or class being used."
