role,category,difficulty,question_text,reference_answer,rubric_key_points
software engineer,backend,easy,What is a REST API?,"A REST API is an interface based on representational state transfer where clients interact with resources over HTTP using standard methods such as GET, POST, PUT, and DELETE in a stateless manner.",
software engineer,database,easy,What is database indexing?,"Database indexing is a technique that creates a data structure on one or more columns so the database can find rows faster, trading some extra storage and write overhead for improved read performance.",
software engineer,database,medium,What is normalization in databases?,"Normalization is the process of organizing relational data into well-structured tables to reduce redundancy and improve data integrity, usually by separating data based on functional dependencies.",
software engineer,oop,easy,What is polymorphism in object-oriented programming?,Polymorphism allows the same interface or method name to represent different underlying implementations depending on the object or class being used.,
software engineer,system design,easy,What is caching and why is it used?,"Caching stores frequently accessed data in a faster storage layer so repeated requests can be served more quickly, reducing latency and load on slower backend systems.",
software engineer,networking,easy,What is the difference between HTTP and HTTPS?,"HTTP transfers data over the web in plain form, while HTTPS uses TLS or SSL to encrypt communication and provide authentication and integrity protection.",
software engineer,version control,easy,What is the purpose of Git branching?,"Git branching allows developers to create independent lines of development so they can work on features, fixes, or experiments without affecting the main codebase until changes are ready to merge.",
software engineer,algorithms,medium,What is the time complexity of binary search and why?,Binary search runs in O(log n) time because it repeatedly halves the search space on each comparison when applied to a sorted collection.,
software engineer,concurrency,medium,What is a race condition?,"A race condition occurs when multiple threads or processes access and modify shared state without proper synchronization, causing the result to depend on timing or execution order.",
software engineer,os,medium,What is the difference between a process and a thread?,"A process is an independent program execution unit with its own memory space, while a thread is a smaller execution unit inside a process that shares the process memory with other threads.",
software engineer,web,medium,What is JWT and where is it used?,"JWT, or JSON Web Token, is a compact signed token format used to transmit claims securely between parties, often for stateless authentication and authorization in web applications.",
software engineer,testing,easy,What is unit testing?,"Unit testing is the practice of testing the smallest isolated parts of an application, such as functions or methods, to verify that each unit behaves as expected.",
software engineer,cloud,easy,What is the difference between vertical scaling and horizontal scaling?,"Vertical scaling increases the resources of a single machine, such as CPU or memory, while horizontal scaling adds more machines or instances to distribute the workload.",
software engineer,api,medium,What is idempotency in APIs?,"Idempotency means that making the same request multiple times has the same effect as making it once, which is important for safely retrying operations.",
software engineer,security,medium,Why are passwords hashed instead of encrypted in most authentication systems?,"Passwords are usually hashed because authentication only needs one-way verification rather than reversible recovery, reducing risk if the credential store is compromised; slow password hashing algorithms add further protection.",
software engineer,frontend,easy,What is the virtual DOM?,The virtual DOM is an in-memory representation of the UI that libraries such as React use to compute efficient updates before applying the minimal necessary changes to the real DOM.,
software engineer,backend,medium,What is middleware in a web framework?,"Middleware is code that runs during request-response processing, typically between the incoming request and the final route handler, to perform tasks such as authentication, logging, or validation.",
software engineer,database,medium,What is a foreign key?,A foreign key is a column or set of columns in one table that references a primary key in another table to enforce relationships and maintain referential integrity.,
software engineer,devops,medium,What is CI/CD?,"CI/CD stands for continuous integration and continuous delivery or deployment, a set of practices that automate building, testing, and releasing software so changes can be delivered reliably and frequently.",
software engineer,system design,medium,Why are message queues used in distributed systems?,"Message queues are used to decouple producers and consumers, absorb traffic spikes, enable asynchronous processing, improve reliability, and support retry mechanisms.",
